id;cp;country;place;state;city;city_iso;latitude;longitude
"76";"01129";"ES";"Virgala Menor";"País Vasco";"Álava";"VI";"42.749066370";"-2.469300940"
"77";"01129";"ES";"Zekuiano";"País Vasco";"Álava";"VI";"42.753184880";"-2.439070390"
"78";"01130";"ES";"Murguía";"País Vasco";"Álava";"VI";"42.991786460";"-2.838147340"
"79";"01130";"ES";"Zuia";"País Vasco";"Álava";"VI";"42.956241210";"-2.818590730"
"80";"01138";"ES";"Acosta";"País Vasco";"Álava";"VI";"42.975511600";"-2.713652620"
"81";"01138";"ES";"Apodaka";"País Vasco";"Álava";"VI";"42.917067630";"-2.730091120"
"82";"01138";"ES";"Berrikano";"País Vasco";"Álava";"VI";"42.945727520";"-2.716451100"
"83";"01138";"ES";"Buruaga";"País Vasco";"Álava";"VI";"42.946874430";"-2.700161530"
"84";"01138";"ES";"Eribe";"País Vasco";"Álava";"VI";"42.955648050";"-2.711881770"
"85";"01138";"ES";"Etxaguen";"País Vasco";"Álava";"VI";"42.984373490";"-2.723670850"
"86";"01138";"ES";"Gopegi";"País Vasco";"Álava";"VI";"42.961742330";"-2.729470780"
"87";"01138";"ES";"Larrinoa";"País Vasco";"Álava";"VI";"42.967528830";"-2.732428180"
"88";"01138";"ES";"Letona";"País Vasco";"Álava";"VI";"42.932601440";"-2.748781690"
"89";"01138";"ES";"Manurga";"País Vasco";"Álava";"VI";"42.965330600";"-2.755602600"
"90";"01138";"ES";"Múrua";"País Vasco";"Álava";"VI";"42.976586230";"-2.736870390"
"91";"01138";"ES";"Okoizta";"País Vasco";"Álava";"VI";"42.975470940";"-2.713650050"
"92";"01138";"ES";"Olano";"País Vasco";"Álava";"VI";"42.951534460";"-2.766540280"
"93";"01138";"ES";"Ondategi";"País Vasco";"Álava";"VI";"42.956397190";"-2.735261730"
"94";"01138";"ES";"Zaitegi";"País Vasco";"Álava";"VI";"42.943836780";"-2.761050430"
"95";"01138";"ES";"Zestafe";"País Vasco";"Álava";"VI";"42.970845490";"-2.704852230"
"96";"01138";"ES";"Zigoitia";"País Vasco";"Álava";"VI";"42.961745470";"-2.729461610"
"97";"01139";"ES";"Altube";"País Vasco";"Álava";"VI";"42.974746090";"-2.867561200"
"98";"01139";"ES";"Ametzaga";"País Vasco";"Álava";"VI";"42.959365000";"-2.839971650"
"99";"01139";"ES";"Aperregi";"País Vasco";"Álava";"VI";"42.923347550";"-2.842431160"
"100";"01139";"ES";"Bitoriano";"País Vasco";"Álava";"VI";"42.948823920";"-2.829712230"
